Dan	Morgan	told
Morgan	.	I'm
.	I'm	usually
I'm	usually	a
usually	a	very
a	very	strong
very	strong	woman
strong	woman	,
woman	,	but
,	but	I'm
but	I'm	awfully
I'm	awfully	tired
awfully	tired	''
tired	''	.
''	.	``
.	``	And
``	And	hungry
And	hungry	''
hungry	''	,
''	,	he
,	he	said
he	said	.
said	.	``
.	``	Start
``	Start	in
Start	in	.
in	.	It's
.	It's	not
It's	not	much
not	much	of
much	of	a
of	a	meal
a	meal	,
meal	,	but
,	but	it's
but	it's	what
it's	what	I
what	I	eat
I	eat	''
eat	''	.
''	.	``
.	``	Not
``	Not	much
Not	much	of
much	of	a
of	a	meal
a	meal	''
meal	''	?
''	?	?
?	?	The
?	The	girl
The	girl	cried
girl	cried	.
cried	.	``
.	``	Mr.
``	Mr.	Morgan
Mr.	Morgan	,
Morgan	,	it's
,	it's	the
it's	the	best-looking
the	best-looking	food
best-looking	food	I
food	I	ever
I	ever	saw
ever	saw	''
saw	''	.
''	.	He
.	He	told
He	told	himself
told	himself	he
himself	he	had
he	had	never
had	never	seen
never	seen	two
seen	two	people
two	people	eat
people	eat	so
eat	so	much
so	much	.
much	.	When
.	When	they
When	they	were
they	were	finally
were	finally	satisfied
finally	satisfied	,
satisfied	,	Jones
,	Jones	said
Jones	said	,
said	,	``
,	``	I
``	I	think
I	think	he's
think	he's	going
he's	going	to
going	to	give
to	give	us
give	us	work
us	work	''
work	''	.
''	.	The
.	The	grateful
The	grateful	way
grateful	way	she
way	she	looked
she	looked	at
looked	at	Morgan
at	Morgan	made
Morgan	made	him
made	him	ashamed
him	ashamed	of
ashamed	of	himself
of	himself	.
himself	.	When
.	When	he
When	he	saw
he	saw	the
saw	the	expression
the	expression	in
expression	in	her
in	her	eyes
her	eyes	,
eyes	,	he
,	he	knew
he	knew	he
knew	he	couldn't
he	couldn't	send
couldn't	send	them
send	them	on
them	on	.
on	.	She
.	She	said
She	said	,
said	,	``
,	``	I
``	I	guess
I	guess	the
guess	the	Lord
the	Lord	looks
Lord	looks	out
looks	out	for
out	for	fools
for	fools	,
fools	,	drunkards
,	drunkards	,
drunkards	,	and
,	and	innocents
and	innocents	''
innocents	''	.
''	.	Morgan
.	Morgan	laughed
Morgan	laughed	.
laughed	.	``
.	``	Which
``	Which	are
Which	are	you
are	you	''
you	''	?
''	?	?
?	?	``
?	``	We're
``	We're	not
We're	not	drunkards
not	drunkards	''
drunkards	''	,
''	,	she
,	she	said
she	said	.
said	.	``
.	``	That's
``	That's	all
That's	all	I'm
all	I'm	sure
I'm	sure	of
sure	of	''
of	''	.
''	.	She
.	She	helped
She	helped	him
helped	him	with
him	with	the
with	the	dishes
the	dishes	,
dishes	,	then
,	then	he
then	he	brought
he	brought	more
brought	more	water
more	water	in
water	in	from
in	from	the
from	the	spring
the	spring	before
spring	before	it
before	it	got
it	got	dark
got	dark	.
dark	.	He
.	He	carried
He	carried	the
carried	the	tub
the	tub	from
tub	from	the
from	the	back
the	back	of
back	of	the
of	the	house
the	house	where
house	where	it
where	it	hung
it	hung	from
hung	from	a
from	a	nail
a	nail	in
nail	in	the
in	the	wall
the	wall	.
wall	.	He
.	He	said
He	said	:
said	:	``
:	``	You'll
``	You'll	feel
You'll	feel	a
feel	a	lot
a	lot	better
lot	better	after
better	after	you
after	you	have
you	have	a
have	a	bath
a	bath	.
bath	.	Your
.	Your	feet
Your	feet	are
feet	are	in
are	in	bad
in	bad	shape
bad	shape	,
shape	,	Mrs.
,	Mrs.	Jones
Mrs.	Jones	.
Jones	.	You'll
.	You'll	have
You'll	have	to
have	to	go
to	go	to
go	to	town
to	town	to
town	to	see
to	see	the
see	the	doc
the	doc	''
doc	''	.
''	.	``
.	``	No
``	No	,
No	,	she'll
,	she'll	be
she'll	be	all
be	all	right
all	right	''
right	''	,
''	,	Jones
,	Jones	said
Jones	said	quickly
said	quickly	.
quickly	.	``
.	``	I
``	I	mean
I	mean	,
mean	,	we
,	we	don't
we	don't	have
don't	have	any
have	any	way
any	way	to
way	to	get
to	get	there
get	there	and
there	and	we
and	we	can't
we	can't	expect
can't	expect	you
expect	you	to
you	to	quit
to	quit	work
quit	work	just
work	just	to
just	to	take
to	take	us
take	us	to
us	to	town
to	town	''
town	''	.
''	.	``
.	``	We'll
``	We'll	see
We'll	see	''
see	''	,
''	,	Morgan
,	Morgan	said
Morgan	said	.
said	.	``
.	``	Could
``	Could	you
Could	you	find
you	find	me
find	me	a
me	a	needle
a	needle	and
needle	and	thread
and	thread	''
thread	''	?
''	?	?
?	?	The
?	The	girl
The	girl	asked
girl	asked	.
asked	.	``
.	``	My
``	My	dress
My	dress	needs
dress	needs	some
needs	some	work
some	work	on
work	on	it
on	it	''
it	''	.
''	.	He
.	He	nodded
He	nodded	and
nodded	and	,
and	,	going
,	going	into
going	into	the
into	the	bedroom
the	bedroom	,
bedroom	,	brought
,	brought	a
brought	a	needle
a	needle	,
needle	,	thread
,	thread	,
thread	,	and
,	and	scissors
and	scissors	.
scissors	.	He
.	He	said
He	said	:
said	:	``
:	``	I'm
``	I'm	going
I'm	going	to
going	to	bed
to	bed	''
bed	''	.
''	.	He
.	He	nodded
He	nodded	at
nodded	at	the
at	the	door
the	door	in
door	in	front
in	front	of
front	of	him
of	him	.
him	.	``
.	``	That's
``	That's	my
That's	my	spare
my	spare	bedroom
spare	bedroom	.
bedroom	.	The
.	The	bed
The	bed	isn't
bed	isn't	made
isn't	made	,
made	,	but
,	but	you'll
but	you'll	find
you'll	find	plenty
find	plenty	of
plenty	of	blankets
of	blankets	there
blankets	there	''
there	''	.
''	.	``
.	``	You're
``	You're	awfully
You're	awfully	kind
awfully	kind	''
kind	''	,
''	,	the
,	the	girl
the	girl	said
girl	said	.
said	.	``
.	``	We'll
``	We'll	pay
We'll	pay	you
pay	you	back
you	back	if
back	if	you'll
if	you'll	let
you'll	let	us
let	us	.
us	.	Some
.	Some	way
Some	way	''
way	''	.
''	.	``
.	``	It's
``	It's	all
It's	all	right
all	right	''
right	''	,
''	,	he
,	he	said
he	said	.
said	.	``
.	``	I
``	I	get
I	get	up
get	up	early
up	early	.
early	.	You'd
.	You'd	better
You'd	better	sleep
better	sleep	''
sleep	''	.
''	.	Jones
.	Jones	followed
Jones	followed	him
followed	him	into
him	into	the
into	the	front
the	front	room
front	room	,
room	,	closing
,	closing	the
closing	the	door
the	door	behind
door	behind	him
behind	him	.
him	.	He
.	He	said
He	said	:
said	:	``
:	``	If
``	If	it's
If	it's	all
it's	all	right
all	right	with
right	with	you
with	you	,
you	,	Mr.
,	Mr.	Morgan
Mr.	Morgan	,
Morgan	,	I'll
,	I'll	sleep
I'll	sleep	out
sleep	out	here
out	here	on
here	on	the
on	the	couch
the	couch	.
couch	.	We
.	We	haven't
We	haven't	slept
haven't	slept	together
slept	together	since
together	since	we
since	we	started
we	started	.
started	.	I
.	I	just
I	just	can't
just	can't	take
can't	take	any
take	any	chances
any	chances	on
chances	on	getting
on	getting	her
getting	her	pregnant
her	pregnant	,
pregnant	,	and
,	and	if
and	if	we
if	we	were
we	were	sleeping
were	sleeping	together
sleeping	together	''
together	''	He
''	He	stopped
He	stopped	,
stopped	,	embarrassed
,	embarrassed	,
embarrassed	,	and
,	and	Morgan
and	Morgan	said
Morgan	said	,
said	,	``
,	``	I
``	I	understand
I	understand	that
understand	that	,
that	,	but
,	but	I
but	I	don't
I	don't	savvy
don't	savvy	why
savvy	why	you'd
why	you'd	go
you'd	go	off
go	off	and
off	and	leave
and	leave	your
leave	your	jobs
your	jobs	in
jobs	in	the
in	the	first
the	first	place
first	place	''
place	''	.
''	.	``
.	``	We
``	We	got
We	got	fired
got	fired	''
fired	''	,
''	,	Jones
,	Jones	said
Jones	said	.
said	.	``
.	``	We
``	We	had
We	had	to
had	to	do
to	do	something
do	something	''
something	''	.
''	.	They
.	They	were
They	were	a
were	a	pair
a	pair	of
pair	of	lost
of	lost	,
lost	,	whipped
,	whipped	kids
whipped	kids	,
kids	,	Morgan
,	Morgan	thought
Morgan	thought	as
thought	as	he
as	he	went
he	went	to
went	to	bed
to	bed	.
bed	.	Gavin
.	Gavin	paused
Gavin	paused	wearily
paused	wearily	.
wearily	.	``
.	``	You
``	You	can't
You	can't	stay
can't	stay	here
stay	here	with
here	with	me
with	me	.
me	.	It's
.	It's	late
It's	late	and
late	and	you
and	you	said
you	said	they'd
said	they'd	be
they'd	be	here
be	here	by
here	by	dawn
by	dawn	''
dawn	''	.
''	.	``
.	``	You
``	You	can't
You	can't	make
can't	make	me
make	me	go
me	go	''
go	''	.
''	.	Gavin
.	Gavin	sank
Gavin	sank	down
sank	down	again
down	again	into
again	into	his
into	his	chair
his	chair	and
chair	and	began
and	began	to
began	to	rock
to	rock	.
rock	.	He
.	He	was
He	was	thinking
was	thinking	of
thinking	of	Rittenhouse
of	Rittenhouse	and
Rittenhouse	and	how
and	how	he
how	he	had
he	had	left
had	left	him
left	him	there
him	there	,
there	,	to
,	to	rock
to	rock	to
rock	to	death
to	death	on
death	on	the
on	the	porch
the	porch	of
porch	of	the
of	the	Splendide
the	Splendide	.
Splendide	.	It
.	It	was
It	was	the
was	the	only
the	only	thing
only	thing	in
thing	in	his
in	his	life
his	life	for
life	for	which
for	which	he
which	he	felt
he	felt	guilt
felt	guilt	.
guilt	.	Beneath
.	Beneath	his
Beneath	his	black
his	black	shirt
black	shirt	his
shirt	his	frail
his	frail	shoulders
frail	shoulders	shook
shoulders	shook	and
shook	and	croaks
and	croaks	of
croaks	of	pain
of	pain	broke
pain	broke	from
broke	from	his
from	his	throat
his	throat	,
throat	,	the
,	the	stored
the	stored	pain
stored	pain	shattering
pain	shattering	free
shattering	free	in
free	in	slow
in	slow	gasps
slow	gasps	,
gasps	,	terrible
,	terrible	to
terrible	to	see
to	see	.
see	.	Clayton
.	Clayton	tried
Clayton	tried	to
tried	to	call
to	call	back
call	back	the
back	the	face
the	face	of
face	of	the
of	the	man
the	man	he
man	he	had
he	had	known
had	known	.
known	.	Against
.	Against	that
Against	that	other
that	other	man
other	man	he
man	he	could
he	could	rally
could	rally	his
rally	his	anger
his	anger	;
anger	;	;
;	;	against
;	against	this
against	this	bent
this	bent	man
bent	man	in
man	in	the
in	the	chair
the	chair	he
chair	he	was
he	was	powerless
was	powerless	.
powerless	.	Gavin's
.	Gavin's	lips
Gavin's	lips	moved
lips	moved	so
moved	so	that
so	that	Clayton
that	Clayton	had
Clayton	had	to
had	to	stoop
to	stoop	to
stoop	to	catch
to	catch	the
catch	the	words
the	words	.
words	.	``
.	``	Do
``	Do	you
Do	you	remember
you	remember	Big
remember	Big	Charlie
Big	Charlie	''
Charlie	''	?
''	?	?
?	?	He
?	He	whispered
He	whispered	.
whispered	.	``
.	``	He
``	He	stuck
He	stuck	with
stuck	with	me
with	me	all
me	all	these
all	these	years
these	years	.
years	.	Just
.	Just	a
Just	a	half-breed
a	half-breed	'pache
half-breed	'pache	,
'pache	,	never
,	never	said
never	said	much
said	much	,
much	,	never
,	never	meant
never	meant	anythin
meant	anythin	to
anythin	to	me
to	me	,
me	,	but
,	but	he
but	he	stuck
he	stuck	with
stuck	with	me
with	me	.
me	.	He
.	He	got
He	got	into
got	into	a
into	a	fight
a	fight	with
fight	with	Tom
with	Tom	English
Tom	English	,
English	,	your
,	your	brother's
your	brother's	son
brother's	son	.
son	.	It
.	It	was
It	was	a
was	a	fair
a	fair	fight
fair	fight	,
fight	,	the
,	the	boy
the	boy	provoked
boy	provoked	it
provoked	it	--
it	--	Big
--	Big	Charlie
Big	Charlie	told
Charlie	told	me
told	me	so
me	so	.
so	.	I
.	I	believed
I	believed	him
believed	him	.
him	.	They
.	They	killed
They	killed	Big
killed	Big	Charlie
Big	Charlie	,
Charlie	,	dumped
,	dumped	his
dumped	his	body
his	body	in
body	in	my
in	my	rose
my	rose	garden
rose	garden	two
garden	two	nights
two	nights	ago
nights	ago	.
ago	.	My
.	My	men
My	men	,
men	,	they
,	they	all
they	all	left
all	left	me
left	me	.
me	.	Just
.	Just	cleared
Just	cleared	out
cleared	out	.
out	.	I
.	I	didn't
I	didn't	understand
didn't	understand	why
understand	why	,
why	,	Clay
,	Clay	.
Clay	.	They
.	They	just
They	just	all
just	all	cleared
all	cleared	out
cleared	out	.
out	.	I
.	I	treated
I	treated	them
treated	them	fair
them	fair	''
fair	''	He
''	He	wiped
He	wiped	his
wiped	his	lips
his	lips	with
lips	with	a
with	a	sleeve
a	sleeve	,
sleeve	,	then
,	then	stared
then	stared	at
stared	at	Clayton
at	Clayton	in
Clayton	in	a
in	a	childish
a	childish	kind
childish	kind	of
kind	of	wonder
of	wonder	.
wonder	.	``
.	``	Do
``	Do	you
Do	you	mean
you	mean	''
mean	''	--
''	--	he
--	he	asked
he	asked	almost
asked	almost	shyly
almost	shyly	--
shyly	--	``
--	``	you
``	you	want
you	want	me
want	me	to
me	to	go
to	go	with
go	with	you
with	you	,
you	,	wherever
,	wherever	you're
wherever	you're	goin
you're	goin	''
goin	''	?
''	?	?
?	?	``
?	``	Yes
``	Yes	''
Yes	''	.
''	.	``
.	``	You
``	You	don't
You	don't	hate
don't	hate	me
hate	me	any
me	any	more
any	more	''
more	''	?
''	?	?
?	?	Clayton
?	Clayton	choked
Clayton	choked	,
choked	,	shook
,	shook	his
shook	his	head
his	head	,
head	,	murmuring
,	murmuring	,
murmuring	,	``
,	``	No
``	No	''
No	''	.
''	.	``
.	``	Come
``	Come	here
Come	here	''
here	''	.
''	.	The
.	The	old
The	old	man
old	man	beckoned
man	beckoned	with
beckoned	with	one
with	one	finger
one	finger	and
finger	and	Clayton
and	Clayton	went
Clayton	went	forward
went	forward	to
forward	to	him
to	him	.
him	.	Gavin
.	Gavin	slipped
Gavin	slipped	his
slipped	his	arms
his	arms	around
arms	around	his
around	his	chest
his	chest	and
chest	and	hugged
and	hugged	him
hugged	him	fiercely
him	fiercely	.
fiercely	.	``
.	``	All
``	All	my
All	my	life
my	life	''
life	''	,
''	,	he
,	he	said
he	said	,
said	,	``
,	``	I
``	I	tried
I	tried	.
tried	.	I
.	I	tried
I	tried	.
tried	.	I
.	I	saw
I	saw	you
saw	you	driftin
you	driftin	away
driftin	away	--
away	--	but
--	but	I
but	I	tried
I	tried	.
tried	.	And
.	And	you
And	you	wanted
you	wanted	no
wanted	no	part
no	part	of
part	of	me
of	me	when
me	when	I
when	I	had
I	had	so
had	so	much
so	much	to
much	to	give
to	give	.
give	.	Now
.	Now	there's
Now	there's	nothin
there's	nothin	left
nothin	left	of
left	of	me
of	me	.
me	.	Laurel
.	Laurel	is
Laurel	is	gone
is	gone	,
gone	,	my
,	my	men
my	men	are
men	are	gone
are	gone	,
gone	,	Ed
,	Ed	is
Ed	is	dead
is	dead	--
dead	--	and
--	and	you
and	you	come
you	come	to
come	to	me
to	me	,
me	,	to
,	to	help
to	help	me
help	me	.
me	.	Oh
.	Oh	!
Oh	!	!
!	!	God
!	God	in
God	in	Heaven
in	Heaven	,
Heaven	,	I
,	I	can't
I	can't	refuse
can't	refuse	you
refuse	you	now
you	now	.
now	.	That
.	That	would
That	would	mock
would	mock	me
mock	me	too
me	too	much
too	much	!
much	!	!
!	!	Can't
!	Can't	let
Can't	let	you
let	you	go
you	go	way
go	way	from
way	from	me
from	me	again
me	again	''
again	''	He
''	He	closed
He	closed	his
closed	his	eyes
his	eyes	,
eyes	,	ashamed
,	ashamed	of
ashamed	of	his
of	his	tears
his	tears	.
tears	.	``
.	``	I'll
``	I'll	go
I'll	go	,
go	,	Clay
,	Clay	''
Clay	''	.
''	.	Clayton
.	Clayton	freed
Clayton	freed	himself
freed	himself	from
himself	from	the
from	the	embrace
the	embrace	and
embrace	and	stepped
and	stepped	back
stepped	back	.
back	.	The
.	The	eyes
The	eyes	followed
eyes	followed	him
followed	him	fearfully
him	fearfully	.
fearfully	.	``
.	``	The
``	The	horses
The	horses	.
horses	.	There
.	There	isn't
There	isn't	much
isn't	much	time
much	time	.
time	.	I'll
.	I'll	saddle
I'll	saddle	the
saddle	the	horses
the	horses	and
horses	and	bring
and	bring	them
bring	them	round
them	round	.
round	.	You
.	You	get
You	get	ready
get	ready	''
ready	''	He
''	He	burst
He	burst	from
burst	from	the
from	the	hot
the	hot	confinement
hot	confinement	of
confinement	of	the
of	the	room
the	room	into
room	into	the
into	the	cold
the	cold	night
cold	night	air
night	air	.
air	.	Gavin's
.	Gavin's	stallion
Gavin's	stallion	was
stallion	was	in
was	in	the
in	the	barn
the	barn	and
barn	and	he
and	he	tightened
he	tightened	the
tightened	the	cinches
the	cinches	over
cinches	over	the
over	the	saddle
the	saddle	blanket
saddle	blanket	,
blanket	,	working
,	working	by
working	by	touch
by	touch	in
touch	in	the
in	the	darkness
the	darkness	,
darkness	,	comforting
,	comforting	the
comforting	the	animal
the	animal	with
animal	with	easy
with	easy	words
easy	words	.
words	.	When
.	When	he
When	he	had
he	had	finished
had	finished	he
finished	he	led
he	led	him
led	him	and
him	and	the
and	the	mare
the	mare	to
mare	to	the
to	the	porch
the	porch	.
porch	.	The
.	The	stallion
The	stallion	had
stallion	had	smelled
had	smelled	the
smelled	the	mare
the	mare	coming
mare	coming	into
coming	into	heat
into	heat	and
heat	and	began
and	began	to
began	to	paw
to	paw	the
paw	the	turf
the	turf	,
turf	,	shaking
,	shaking	his
shaking	his	head
his	head	.
head	.	Clayton
.	Clayton	looped
Clayton	looped	the
looped	the	reins
the	reins	in
reins	in	a
in	a	knot
a	knot	over
knot	over	the
over	the	veranda
the	veranda	post
veranda	post	and
post	and	patted
and	patted	the
patted	the	warm
the	warm	flesh
warm	flesh	of
flesh	of	his
of	his	neck
his	neck	.
neck	.	The
.	The	mare
The	mare	had
mare	had	backed
had	backed	away
backed	away	.
away	.	``
.	``	You
``	You	take
You	take	it
take	it	easy
it	easy	,
easy	,	boy
,	boy	''
boy	''	,
''	,	Clayton
,	Clayton	whispered
Clayton	whispered	.
whispered	.	``
.	``	She
``	She	doesn't
She	doesn't	want
doesn't	want	you
want	you	now
you	now	.
now	.	You
.	You	take
You	take	it
take	it	easy
it	easy	,
easy	,	your
,	your	time
your	time	will
time	will	come
will	come	''
come	''	.
''	.	Gavin
.	Gavin	stood
Gavin	stood	on
stood	on	the
on	the	porch
the	porch	,
porch	,	a
,	a	thin
a	thin	figure
thin	figure	.
figure	.	He
.	He	had
He	had	taken
had	taken	a
taken	a	carbine
a	carbine	down
carbine	down	from
down	from	the
from	the	wall
the	wall	and
wall	and	it
and	it	trailed
it	trailed	from
trailed	from	his
from	his	hand
his	hand	,
hand	,	the
,	the	stock
the	stock	bumping
stock	bumping	on
bumping	on	the
on	the	wood
the	wood	floor
wood	floor	.
floor	.	Clayton
.	Clayton	called
Clayton	called	to
called	to	him
to	him	and
him	and	he
and	he	came
he	came	slowly
came	slowly	down
slowly	down	the
down	the	steps
the	steps	.
steps	.	``
.	``	Clay
``	Clay	''
Clay	''	,
''	,	he
,	he	said
he	said	,
said	,	``
,	``	where
``	where	are
where	are	we
are	we	goin
we	goin	''
goin	''	?
''	?	?
?	?	``
?	``	To
``	To	a
To	a	ranch
a	ranch	in
ranch	in	the
in	the	valley
the	valley	.
valley	.	There's
.	There's	someone
There's	someone	there
someone	there	I
there	I	have
I	have	to
have	to	see
to	see	.
see	.	We
.	We	may
We	may	take
may	take	her
take	her	with
her	with	us
with	us	--
us	--	to
--	to	California
to	California	.
California	.	I
.	I	don't
I	don't	know
don't	know	yet
know	yet	,
yet	,	it's
,	it's	crazy
it's	crazy	;
crazy	;	;
;	;	I
;	I	have
I	have	to
have	to	think
to	think	about
think	about	it
about	it	.
it	.	But
.	But	California
But	California	is
California	is	where
is	where	we're
where	we're	goin
we're	goin	''
goin	''	.
''	.	``
.	``	California
``	California	''
California	''	.
''	.	Gavin
.	Gavin	began
Gavin	began	to
began	to	nod
to	nod	.
nod	.	``
.	``	That's
``	That's	a
That's	a	new
a	new	land
new	land	.
land	.	A
.	A	man
A	man	could
man	could	make
could	make	a
make	a	mark
a	mark	there
mark	there	.
there	.	Two
.	Two	men
Two	men	,
men	,	together
,	together	like
together	like	us
like	us	,
us	,	we
,	we	could
we	could	do
could	do	somethin
do	somethin	fine
somethin	fine	out
fine	out	there
out	there	,
there	,	maybe
,	maybe	find
maybe	find	a
find	a	place
a	place	where
place	where	no
where	no	one's
no	one's	ever
one's	ever	been
ever	been	.
been	.	Start
.	Start	out
Start	out	fresh
out	fresh	,
fresh	,	the
,	the	two
the	two	of
two	of	us
of	us	,
us	,	like
,	like	nothin
like	nothin	had
nothin	had	ever
had	ever	happened
ever	happened	''
happened	''	.
''	.	``
.	``	Yes
``	Yes	,
Yes	,	like
,	like	a
like	a	father
a	father	and
father	and	son
and	son	''
son	''	.
''	.	``
.	``	I
``	I	made
I	made	you
made	you	what
you	what	you
what	you	are
you	are	''
are	''	,
''	,	Gavin
,	Gavin	whispered
Gavin	whispered	.
whispered	.	``
.	``	I
``	I	made
I	made	you
made	you	so
you	so	you
so	you	could
you	could	stand
could	stand	up
stand	up	.
up	.	I
.	I	made
I	made	you
made	you	a
